Domain	Problem	Exploration	Estimation	Plan Type	State	Final State	Initial State Average	Initial State Minmax	Final State Average	Final State Minmax	Plan	Plan Cost	Plan Value	Number of States with Same Value	Search Time
benchmarks-deception/blocks-words/p01/domain.pddl	benchmarks-deception/blocks-words/p01/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.163537025452
benchmarks-deception/blocks-words/p02/domain.pddl	benchmarks-deception/blocks-words/p02/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	7.2380952381	12.0	['unstack r p (1)', 'put-down r (1)']	2	7.39682539683	1	0.147775888443
benchmarks-deception/blocks-words/p03/domain.pddl	benchmarks-deception/blocks-words/p03/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(on a h)', '(ontable c)', '(ontable h)', '(ontable k)', '(ontable r)', '(on s a)', '(ontable t)', '(ontable u)', '(not (clear a))', '(clear c)', '(not (clear h))', '(clear k)', '(clear r)', '(clear s)', '(clear t)', '(clear u)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.2	12.0	8.2	12.0	[]	0	8.2	1	0.163168907166
benchmarks-deception/blocks-words/p04/domain.pddl	benchmarks-deception/blocks-words/p04/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(on a h)', '(ontable c)', '(ontable h)', '(ontable k)', '(ontable r)', '(on s a)', '(ontable t)', '(ontable u)', '(not (clear a))', '(clear c)', '(not (clear h))', '(clear k)', '(clear r)', '(clear s)', '(clear t)', '(clear u)', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.2	12.0	8.2	12.0	[]	0	8.2	1	0.142830133438
benchmarks-deception/blocks-words/p05/domain.pddl	benchmarks-deception/blocks-words/p05/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(ontable a)', '(ontable e)', '(ontable h)', '(on m o)', '(ontable o)', '(ontable r)', '(on t w)', '(ontable w)', '(clear a)', '(clear e)', '(clear h)', '(clear m)', '(not (clear o))', '(clear r)', '(clear t)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	9.1	14.0	8.4	12.0	['unstack r a (1)', 'put-down r (1)']	2	8.21666666667	1	0.142570972443
benchmarks-deception/blocks-words/p06/domain.pddl	benchmarks-deception/blocks-words/p06/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(ontable a)', '(ontable e)', '(ontable h)', '(on m o)', '(ontable o)', '(ontable r)', '(on t w)', '(ontable w)', '(clear a)', '(clear e)', '(clear h)', '(clear m)', '(not (clear o))', '(clear r)', '(clear t)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	9.1	14.0	8.4	12.0	['unstack r a (1)', 'put-down r (1)']	2	8.21666666667	1	0.1410779953
benchmarks-deception/blocks-words/p07/domain.pddl	benchmarks-deception/blocks-words/p07/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(on a w)', '(ontable c)', '(ontable d)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(clear a)', '(clear c)', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(not (clear w))', '(handempty )', '(not (achieved4 ))', '(achieved3 )', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	6.4	8.0	3.6	8.0	['unstack r p (1)', 'put-down r (1)', 'unstack d a (1)', 'put-down d (1)', 'unstack a c (1)', 'stack a w (1)', 'clearp-ontablew-onaw  (1)']	7	4.3	1	0.142026901245
benchmarks-deception/blocks-words/p08/domain.pddl	benchmarks-deception/blocks-words/p08/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable s)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear s)', '(clear w)', '(handempty )', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	7.6	8.0	6.4	8.0	['unstack r p (1)', 'put-down r (1)']	2	6.53333333333	1	0.154850959778
benchmarks-deception/blocks-words/p09/domain.pddl	benchmarks-deception/blocks-words/p09/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable h)', '(ontable m)', '(ontable o)', '(ontable p)', '(on r o)', '(on t m)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear h)', '(not (clear m))', '(not (clear o))', '(clear p)', '(clear r)', '(clear t)', '(clear w)', '(handempty )', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	7.6	10.0	8.0	8.0	['unstack r p (1)', 'stack r o (1)']	2	6.73333333333	1	0.161438941956
benchmarks-deception/blocks-words/p10/domain.pddl	benchmarks-deception/blocks-words/p10/template.pddl	greedy	all-reachable-fast	shortest	centroid	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable m)', '(ontable o)', '(ontable p)', '(ontable r)', '(on t m)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(not (clear m))', '(clear o)', '(clear p)', '(clear r)', '(clear t)', '(clear w)', '(handempty )', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	7.6	10.0	6.8	8.0	['unstack r p (1)', 'put-down r (1)']	2	6.8	2	0.207129001617
