Domain	Problem	Exploration	Estimation	Plan Type	State	Final State	Initial State Average	Initial State Minmax	Final State Average	Final State Minmax	Plan	Plan Cost	Plan Value	Number of States with Same Value	Search Time
benchmarks-deception/blocks-words/p01/domain.pddl	benchmarks-deception/blocks-words/p01/template.pddl	greedy	heuristic	shortest	minimum-covering	['(ontable a)', '(ontable c)', '(ontable d)', '(ontable e)', '(on o w)', '(ontable p)', '(ontable r)', '(ontable w)', '(clear a)', '(clear c)', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	6.28571428571	10.0	['unstack r p (1)', 'put-down r (1)', 'unstack d a (1)', 'put-down d (1)', 'unstack a c (1)', 'put-down a (1)', 'pick-up o (1)', 'stack o w (1)']	8	6.10582010582	1	0.233711004257
benchmarks-deception/blocks-words/p02/domain.pddl	benchmarks-deception/blocks-words/p02/template.pddl	greedy	heuristic	shortest	minimum-covering	['(ontable a)', '(ontable c)', '(ontable d)', '(ontable e)', '(on o w)', '(ontable p)', '(ontable r)', '(ontable w)', '(clear a)', '(clear c)', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	6.28571428571	10.0	['unstack r p (1)', 'put-down r (1)', 'unstack d a (1)', 'put-down d (1)', 'unstack a c (1)', 'put-down a (1)', 'pick-up o (1)', 'stack o w (1)']	8	6.10582010582	1	0.189529895782
benchmarks-deception/blocks-words/p03/domain.pddl	benchmarks-deception/blocks-words/p03/template.pddl	greedy	heuristic	shortest	minimum-covering	['(on a r)', '(on c k)', '(ontable h)', '(ontable k)', '(on r u)', '(on s h)', '(ontable t)', '(ontable u)', '(clear a)', '(clear c)', '(not (clear h))', '(not (clear k))', '(not (clear r))', '(clear s)', '(clear t)', '(not (clear u))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.2	12.0	7.4	12.0	['pick-up r (1)', 'stack r u (1)', 'unstack s a (1)', 'put-down s (1)', 'unstack a h (1)', 'put-down a (1)', 'pick-up s (1)', 'stack s h (1)', 'pick-up a (1)', 'stack a r (1)', 'pick-up c (1)', 'stack c k (1)']	12	5.40769230769	1	0.233728170395
benchmarks-deception/blocks-words/p04/domain.pddl	benchmarks-deception/blocks-words/p04/template.pddl	greedy	heuristic	shortest	minimum-covering	['(on a r)', '(on c k)', '(ontable h)', '(ontable k)', '(on r u)', '(on s h)', '(ontable t)', '(ontable u)', '(clear a)', '(clear c)', '(not (clear h))', '(not (clear k))', '(not (clear r))', '(clear s)', '(clear t)', '(not (clear u))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.2	12.0	7.4	12.0	['pick-up r (1)', 'stack r u (1)', 'unstack s a (1)', 'put-down s (1)', 'unstack a h (1)', 'put-down a (1)', 'pick-up s (1)', 'stack s h (1)', 'pick-up a (1)', 'stack a r (1)', 'pick-up c (1)', 'stack c k (1)']	12	5.40769230769	1	0.226449966431
benchmarks-deception/blocks-words/p05/domain.pddl	benchmarks-deception/blocks-words/p05/template.pddl	greedy	heuristic	shortest	minimum-covering	['(ontable a)', '(on e r)', '(ontable h)', '(ontable m)', '(on o w)', '(ontable r)', '(ontable t)', '(ontable w)', '(clear a)', '(clear e)', '(clear h)', '(clear m)', '(clear o)', '(not (clear r))', '(clear t)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	9.1	14.0	6.7	10.0	['unstack r a (1)', 'put-down r (1)', 'unstack t w (1)', 'stack t h (1)', 'unstack m o (1)', 'put-down m (1)', 'pick-up e (1)', 'stack e r (1)', 'unstack t h (1)', 'put-down t (1)', 'pick-up o (1)', 'stack o w (1)']	12	5.84230769231	1	0.276043891907
benchmarks-deception/blocks-words/p06/domain.pddl	benchmarks-deception/blocks-words/p06/template.pddl	greedy	heuristic	shortest	minimum-covering	['(ontable a)', '(on e r)', '(ontable h)', '(ontable m)', '(on o w)', '(ontable r)', '(ontable t)', '(ontable w)', '(clear a)', '(clear e)', '(clear h)', '(clear m)', '(clear o)', '(not (clear r))', '(clear t)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	9.1	14.0	6.7	10.0	['unstack r a (1)', 'put-down r (1)', 'unstack t w (1)', 'stack t h (1)', 'unstack m o (1)', 'put-down m (1)', 'pick-up e (1)', 'stack e r (1)', 'unstack t h (1)', 'put-down t (1)', 'pick-up o (1)', 'stack o w (1)']	12	5.84230769231	1	0.278748989105
benchmarks-deception/blocks-words/p07/domain.pddl	benchmarks-deception/blocks-words/p07/template.pddl	greedy	heuristic	shortest	minimum-covering	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear w)', '(handempty )', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	6.4	8.0	5.6	8.0	['unstack r p (1)', 'put-down r (1)']	2	5.6	2	0.228057861328
benchmarks-deception/blocks-words/p08/domain.pddl	benchmarks-deception/blocks-words/p08/template.pddl	greedy	heuristic	shortest	minimum-covering	['(on a c)', '(ontable c)', '(on d a)', '(ontable e)', '(ontable o)', '(ontable p)', '(ontable r)', '(ontable s)', '(ontable w)', '(not (clear a))', '(not (clear c))', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(clear s)', '(clear w)', '(handempty )', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	7.6	8.0	6.4	8.0	['unstack r p (1)', 'put-down r (1)']	2	6.53333333333	2	0.171071052551
benchmarks-deception/blocks-words/p01/domain.pddl	benchmarks-deception/blocks-words/p01/template.pddl	greedy	all-reachable-fast	shortest	minimum-covering	['(ontable a)', '(ontable c)', '(ontable d)', '(ontable e)', '(on o w)', '(ontable p)', '(ontable r)', '(ontable w)', '(clear a)', '(clear c)', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	6.28571428571	10.0	['unstack r p (1)', 'put-down r (1)', 'unstack d a (1)', 'put-down d (1)', 'unstack a c (1)', 'put-down a (1)', 'pick-up o (1)', 'stack o w (1)']	8	6.10582010582	1	0.209642887115
benchmarks-deception/blocks-words/p02/domain.pddl	benchmarks-deception/blocks-words/p02/template.pddl	greedy	all-reachable-fast	shortest	minimum-covering	['(ontable a)', '(ontable c)', '(ontable d)', '(ontable e)', '(on o w)', '(ontable p)', '(ontable r)', '(ontable w)', '(clear a)', '(clear c)', '(clear d)', '(clear e)', '(clear o)', '(clear p)', '(clear r)', '(not (clear w))', '(handempty )', '(not (achieved9 ))', '(not (achieved8 ))', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved20 ))', '(not (achieved2 ))', '(not (achieved19 ))', '(not (achieved18 ))', '(not (achieved17 ))', '(not (achieved16 ))', '(not (achieved15 ))', '(not (achieved14 ))', '(not (achieved13 ))', '(not (achieved12 ))', '(not (achieved11 ))', '(not (achieved10 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.38095238095	14.0	6.28571428571	10.0	['unstack r p (1)', 'put-down r (1)', 'unstack d a (1)', 'put-down d (1)', 'unstack a c (1)', 'put-down a (1)', 'pick-up o (1)', 'stack o w (1)']	8	6.10582010582	1	0.15731716156
